student_id,punctuality,regularity,clarity,interactivity,doubt_solving,notes_provided,overall_satisfaction,comment
1,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Neutral,Needs to improve punctuality.
2,Strongly Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly Agree,Sometimes unprepared for class.
3,Agree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,"Too fast, hard to follow."
4,Strongly Agree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Interactive and engaging classes.
5,Neutral,Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Satisfied with the overall teaching.
6,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,"Average teaching, nothing special."
7,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"Too fast, hard to follow."
8,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Needs to improve punctuality.
9,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Class is sometimes boring.
10,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Interactive and engaging classes.
11,Strongly Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Explains concepts very clearly.
12,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Not satisfied with the way of teaching.
13,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,"Average teaching, nothing special."
14,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Good but can improve communication.
15,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,"Too fast, hard to follow."
16,Neutral,Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Very good teaching style.
17,Neutral,Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Does not provide proper notes.
18,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Neutral,Needs to improve punctuality.
